Последовательное время;Параллельное время;Неточность;Ускорение
17094;71940;-3.26074e+08;0.237615;
23767;78527;3.94854e+07;0.30266;
21258;133247;-8.68483e+08;0.159538;
26081;126534;6.58113e+08;0.206119;
23681;156733;1.71901e+08;0.151091;
25014;134430;1.13941e+09;0.186075;
24396;179410;-7.57072e+08;0.135979;
25540;152896;1.20547e+09;0.167042;
34247;122924;1.17139e+09;0.278603;
28600;172824;-1.81168e+09;0.165486;
31336;176513;9.42408e+07;0.177528;
30697;200846;1.3912e+09;0.152838;
38551;160502;6.90225e+08;0.24019;
34600;254395;-3.17194e+09;0.136009;
50036;230765;-3.33631e+09;0.216827;
44013;219220;2.34016e+09;0.200771;
59897;200962;1.89897e+09;0.298051;
39859;235743;8.93387e+08;0.169078;
42237;270949;3.96519e+09;0.155885;
54330;276935;5.70373e+09;0.196183;
44268;278566;-1.56657e+09;0.158914;
45911;203881;8.99678e+09;0.225185;
44467;356308;-3.31035e+09;0.124799;
48765;225252;5.54697e+09;0.216491;
49327;358361;-2.78921e+09;0.137646;
49356;331184;5.23239e+08;0.149029;
58777;306439;2.09505e+09;0.191807;
81531;347137;1.2218e+10;0.234867;
54953;341738;-6.48649e+09;0.160804;
55358;421092;1.34459e+10;0.131463;
55901;356155;4.20269e+09;0.156957;
64329;283706;-1.83375e+10;0.226745;
59211;392762;4.95347e+09;0.150755;
60488;382968;-2.65709e+09;0.157945;
71803;415863;1.69869e+08;0.17266;
75444;428150;-2.81438e+09;0.176209;
63508;308751;1.43235e+09;0.205693;
64567;331869;-1.85598e+10;0.194556;
66963;367213;-1.95664e+09;0.182355;
68240;445606;-7.3652e+09;0.15314;
69223;397583;9.15826e+09;0.17411;
69701;440498;3.62178e+09;0.158232;
75291;425505;-1.13456e+10;0.176945;
72866;485075;4.86539e+08;0.150216;
74032;445041;1.21761e+10;0.166349;
75782;470763;-1.39838e+10;0.160977;
76827;425853;1.80355e+09;0.180407;
78374;443148;-2.93601e+08;0.176857;
88024;526019;1.45165e+10;0.16734;
81275;496675;-4.49839e+10;0.163638;
82090;358155;5.06672e+09;0.229202;
83351;501920;-1.51624e+10;0.166064;
103687;510010;1.8543e+10;0.203304;
86171;566423;5.742e+09;0.152132;
87464;519739;-2.55349e+10;0.168284;
88771;523669;1.99901e+10;0.169517;
92182;592490;2.58285e+10;0.155584;
92017;540942;-8.62349e+09;0.170105;
93502;503734;-5.35193e+09;0.185618;
94823;427351;4.7102e+10;0.221886;
97785;576757;1.68527e+10;0.169543;
98697;742426;2.86052e+09;0.132939;
100656;541340;-2.90414e+10;0.185939;
102665;755807;6.36695e+09;0.135835;
103896;633447;-5.20933e+09;0.164017;
104245;592916;-3.19942e+10;0.175817;
105299;648008;1.01586e+10;0.162496;
107240;826058;-5.63295e+10;0.129821;
134094;659687;-3.62472e+10;0.203269;
110532;824561;2.01578e+10;0.13405;
111663;579289;-1.30527e+10;0.192759;
112787;705322;-2.46541e+10;0.159909;
113489;729794;-6.52634e+09;0.155508;
114398;857031;-4.45267e+10;0.133482;
115594;739820;-5.94752e+10;0.156246;
116450;740414;-4.24128e+10;0.157277;
119644;780641;-3.42759e+10;0.153264;
119593;764947;6.16395e+10;0.156342;
120213;731865;-6.47601e+09;0.164256;
122888;909476;1.37774e+11;0.13512;
123908;735803;7.25782e+10;0.168398;
124190;785538;6.40386e+10;0.158095;
126076;817107;-8.20574e+10;0.154296;
127883;807871;7.59337e+10;0.158296;
130214;619752;-4.78654e+10;0.210107;
130051;802700;1.38295e+11;0.162017;
131724;832948;3.946e+10;0.158142;
132548;622558;4.52482e+10;0.212909;
134457;859553;3.1776e+10;0.156427;
135520;858221;6.11865e+10;0.157908;
159664;901729;3.17257e+10;0.177064;
256889;994740;-7.78127e+10;0.258247;
139975;892571;-1.65927e+10;0.156822;
166349;1073354;6.0096e+10;0.154981;
142181;920742;-2.0438e+11;0.15442;
146542;938334;9.67374e+10;0.156173;
144406;1107341;3.45275e+10;0.130408;
147925;949877;-1.07206e+11;0.155731;
146885;714783;1.58746e+11;0.205496;
148536;1117965;1.2187e+11;0.132863;
149922;990584;-1.57035e+10;0.151347;
150911;1137624;1.34218e+11;0.132655;
152365;990794;8.48927e+09;0.153781;
154317;988123;1.97501e+11;0.156172;
154635;1029892;-1.6747e+11;0.150147;
158084;715371;6.47601e+09;0.220982;
157331;844686;-1.06871e+11;0.18626;
159611;1044965;2.40216e+11;0.152743;
160854;1036914;-2.41391e+11;0.155128;
161836;1023084;1.89817e+11;0.158184;
163663;1063629;-1.04824e+11;0.153872;
164375;1079688;-1.11132e+11;0.152243;
166184;1079405;-9.90191e+10;0.153959;
168012;1087174;1.13682e+11;0.15454;
169084;1077214;-7.88865e+10;0.156964;
170033;1108746;1.78073e+11;0.153356;
172557;1056188;4.21779e+10;0.163377;
172882;1134079;-1.86126e+11;0.152443;
174897;1141625;-2.46994e+11;0.1532;
175249;1162130;1.02542e+11;0.1508;
179393;1136050;1.36097e+11;0.157909;
178375;1155010;-1.69517e+11;0.154436;
179369;1181242;1.5737e+11;0.151848;
181646;1182272;1.02677e+10;0.153641;
182899;1183729;-7.12025e+10;0.154511;
183740;1192629;-2.17433e+10;0.154063;
185809;1176055;-1.54552e+11;0.157993;
186367;1223621;-4.2547e+10;0.152308;
188406;1201654;-1.66967e+11;0.156789;
190348;1243898;2.36357e+11;0.153025;
195211;968117;2.42397e+11;0.20164;
201896;1250474;-3.1823e+11;0.161456;
196779;1017886;1.67101e+11;0.193321;
198212;1314029;1.20796e+10;0.150843;
199792;1265230;-1.27909e+11;0.15791;
200388;1238065;9.94553e+10;0.161856;
202403;1297036;-7.37526e+10;0.15605;
203613;1307707;-7.93227e+10;0.155702;
205938;1250737;2.03071e+11;0.164653;
205101;1343186;2.73133e+11;0.152697;
206594;1354171;-2.12601e+11;0.152561;
228093;1354677;-3.98627e+10;0.168374;
210703;1299845;-8.52283e+10;0.162099;
210447;996915;8.47585e+10;0.211098;
212637;1321263;-2.30318e+11;0.160935;
215500;974615;-2.01528e+11;0.221113;
216035;1391525;-8.23426e+10;0.155251;
216337;1428227;3.74065e+11;0.151472;
234797;1342011;-1.97501e+11;0.174959;
219708;1326144;1.27104e+11;0.165674;
220672;1415664;9.64354e+10;0.155879;
222036;988416;4.1829e+11;0.224638;
223470;1444406;1.80724e+11;0.154714;
226129;1418342;3.22794e+11;0.159432;
225059;1435634;4.14062e+11;0.156766;
225665;1408805;-5.02377e+11;0.160182;
234740;1492626;-7.71752e+10;0.157266;
229828;1417514;8.10675e+10;0.162135;
230022;1108398;-1.48847e+11;0.207527;
232756;1156592;-3.48966e+09;0.201243;
249361;1507100;-2.75146e+10;0.165458;
237345;1476609;3.9554e+11;0.160737;
244802;1529114;1.75825e+10;0.160094;
248689;1467127;3.47087e+11;0.169507;
238648;1044554;7.69068e+11;0.228469;
239504;1528115;1.29386e+11;0.156732;
249389;1553927;-2.55953e+11;0.16049;
249300;1109376;4.43187e+11;0.224721;
243556;1517680;4.60769e+11;0.160479;
245227;1523190;-2.53e+11;0.160996;
272526;1613930;2.50853e+11;0.168859;
257884;1594156;-1.42271e+10;0.161768;
249606;1589237;1.02811e+11;0.15706;
249640;1304826;-7.77121e+10;0.191321;
251599;1261202;-7.66383e+10;0.199491;
258481;1336211;-6.41829e+11;0.193443;
267632;1622881;1.13548e+11;0.164912;
255361;1594126;-9.67307e+11;0.160189;
258165;1913375;-1.87905e+11;0.134927;
259766;1699931;-1.24286e+11;0.15281;
261876;1618719;6.76592e+11;0.16178;
261241;1645563;2.05219e+11;0.158755;
264802;1127792;6.17267e+11;0.234797;
293407;2028854;2.83736e+11;0.144617;
265379;1667505;4.12317e+11;0.159147;
280640;1760722;8.74965e+11;0.159389;
291770;2009289;7.23702e+11;0.145211;
269301;1671216;-4.96203e+11;0.161141;
272118;1675444;-5.43716e+11;0.162415;
273732;1666903;2.32197e+11;0.164216;
275401;1712282;-5.95524e+11;0.160839;
274989;2071198;5.21033e+11;0.132768;
276186;1270503;4.8466e+11;0.217383;
287979;1665603;4.99022e+11;0.172898;
280260;1764342;-2.40652e+11;0.158847;
280678;2103682;-6.41561e+11;0.133422;
281618;1817846;1.35023e+11;0.154919;
285175;1788054;-6.18207e+11;0.159489;
317780;1866966;6.60888e+11;0.170212;
301596;1833831;-2.74341e+11;0.164462;
288672;1849277;8.2705e+11;0.1561;
291902;1871039;-1.45224e+11;0.156011;
292658;1481626;6.14717e+11;0.197525;
293221;2187744;-1.53008e+10;0.134029;
294077;1847569;-9.9858e+11;0.15917;
296565;1847882;-9.5912e+11;0.160489;
296416;1906129;4.76741e+11;0.155507;
297727;1863795;-6.46929e+11;0.159742;
299378;1540718;-4.95263e+11;0.194311;
300915;1860820;-1.15427e+12;0.161711;
304210;1980696;-8.68926e+11;0.153587;
304269;1961983;5.51366e+11;0.155082;
304634;1944529;1.31829e+12;0.156662;
306382;1914790;9.6771e+11;0.160008;
308007;1973624;1.17709e+12;0.156062;
310749;1927522;-8.79931e+11;0.161217;
310546;1899528;1.08045e+12;0.163486;
313220;1988316;3.23733e+11;0.15753;
313561;2344375;-1.50861e+12;0.13375;
315192;2034808;5.72841e+11;0.1549;
319580;1639471;4.42919e+11;0.194929;
319459;2004048;5.40361e+11;0.159407;
320233;2005746;-1.34755e+11;0.159658;
321460;2041782;-3.87084e+11;0.157441;
322923;2078556;3.42524e+11;0.155359;
323157;2034736;6.03443e+11;0.15882;
329744;2094002;-8.3215e+09;0.157471;
334526;1699871;-7.76315e+11;0.196795;
329148;2094001;6.76726e+11;0.157186;
329204;2107971;6.03174e+11;0.156171;
330137;2031399;-5.79552e+11;0.162517;
